input_text,input_tokens,generated_continuation_text,generated_continuation_tokens,true_continuation_text,true_continuation_tokens,matching_tokens,perfect_match
"﻿The Project Gutenberg eBook of Alice's Adventures in Wonderland
    
This ebook is for the use of anyone anywhere in the United States and
most other parts of the world at no cost and with almost no restrictions
whatsoever. You may copy it,","[3305, 791, 5907, 52686, 58610, 315, 30505, 596, 51679, 304, 90024, 7361, 2028, 35097, 374, 369, 279, 1005, 315, 5606, 12660, 304, 279, 3723, 4273, 323, 198, 3646, 1023, 5596, 315, 279, 1917, 520, 912, 2853, 323, 449, 4661, 912, 17294, 198, 12840, 35654, 13, 1472, 1253, 3048, 433, 11]"," give it away or re-use it under the terms
of the Project Gutenberg License included with this eBook or online at
www.gutenberg.org. If you are not located in the United States, you'll
have to check the laws of the country","[3041, 433, 3201, 477, 312, 25700, 433, 1234, 279, 3878, 198, 1073, 279, 5907, 52686, 1914, 5343, 449, 420, 58610, 477, 2930, 520, 198, 2185, 1326, 45533, 2726, 13, 1442, 499, 527, 539, 7559, 304, 279, 3723, 4273, 11, 499, 3358, 198, 19553, 311, 1817, 279, 7016, 315, 279, 3224]"," give it away or re-use it under the terms
of the Project Gutenberg License included with this ebook or online
at www.gutenberg.org. If you are not located in the United States,
you will have to check the laws of the country where","[3041, 433, 3201, 477, 312, 25700, 433, 1234, 279, 3878, 198, 1073, 279, 5907, 52686, 1914, 5343, 449, 420, 35097, 477, 2930, 198, 266, 8604, 1326, 45533, 2726, 13, 1442, 499, 527, 539, 7559, 304, 279, 3723, 4273, 345, 9514, 690, 617, 311, 1817, 279, 7016, 315, 279, 3224, 1405]",34,False
" give it away or re-use it under the terms
of the Project Gutenberg License included with this ebook or online
at www.gutenberg.org. If you are not located in the United States,
you will have to check the laws of the country where","[3041, 433, 3201, 477, 312, 25700, 433, 1234, 279, 3878, 198, 1073, 279, 5907, 52686, 1914, 5343, 449, 420, 35097, 477, 2930, 198, 266, 8604, 1326, 45533, 2726, 13, 1442, 499, 527, 539, 7559, 304, 279, 3723, 4273, 345, 9514, 690, 617, 311, 1817, 279, 7016, 315, 279, 3224, 1405]"," you are located
before using this ebook.
Title: The Youngest Miss Lorton
Author: Kate Douglas Smith Wiggin
Release Date: November 16, 2011 [EBook #38576]
Language: English
Character set encoding","[499, 527, 7559, 198, 15145, 1701, 420, 35097, 627, 3936, 25, 578, 13566, 478, 9083, 445, 38200, 198, 7279, 25, 30301, 31164, 9259, 98256, 8326, 198, 16464, 2696, 25, 6841, 220, 845, 11, 220, 679, 16, 510, 36, 7280, 674, 18695, 4767, 933, 14126, 25, 6498, 198, 12686, 743, 11418]"," you are located
before using this eBook.

Title: Alice's Adventures in Wonderland

Author: Lewis Carroll

Release date: June 27, 2008 [eBook #11]
                Most recently updated: May 10, 2025","[499, 527, 7559, 198, 15145, 1701, 420, 58610, 382, 3936, 25, 30505, 596, 51679, 304, 90024, 271, 7279, 25, 21256, 47209, 271, 16464, 2457, 25, 5651, 220, 1544, 11, 220, 1049, 23, 510, 68, 7280, 674, 806, 933, 394, 7648, 6051, 6177, 25, 3297, 220, 605, 11, 220, 2366, 20]",9,False
" you are located
before using this eBook.

Title: Alice's Adventures in Wonderland

Author: Lewis Carroll

Release date: June 27, 2008 [eBook #11]
                Most recently updated: May 10, 2025","[499, 527, 7559, 198, 15145, 1701, 420, 58610, 382, 3936, 25, 30505, 596, 51679, 304, 90024, 271, 7279, 25, 21256, 47209, 271, 16464, 2457, 25, 5651, 220, 1544, 11, 220, 1049, 23, 510, 68, 7280, 674, 806, 933, 394, 7648, 6051, 6177, 25, 3297, 220, 605, 11, 220, 2366, 20]","

Language: English

Character set encoding: UTF-8

*** START OF THIS PROJECT GUTENBERG EBOOK ALICE'S ADVENTURES IN WONDERLAND ***

Produced by David Widger

ALICE'S ADVENTURES","[271, 14126, 25, 6498, 271, 12686, 743, 11418, 25, 20677, 12, 23, 271, 12488, 21673, 3083, 10245, 40992, 480, 1406, 965, 9745, 38, 469, 37725, 8927, 5604, 13575, 9827, 6927, 51761, 2006, 98467, 11645, 40915, 17601, 271, 19017, 2041, 555, 6941, 48740, 1414, 271, 984, 5604, 13575, 9827, 6927, 51761]","

Language: English

Credits: Arthur DiBianca and David Widger


*** START OF THE PROJECT GUTENBERG EBOOK ALICE'S ADVENTURES IN WONDERLAND ***

[Illustration]




Alice’s Adventures","[271, 14126, 25, 6498, 271, 70439, 25, 28686, 7923, 33, 1122, 936, 323, 6941, 48740, 1414, 1432, 12488, 21673, 3083, 3247, 40992, 480, 1406, 965, 9745, 38, 469, 37725, 8927, 5604, 13575, 9827, 6927, 51761, 2006, 98467, 11645, 40915, 17601, 271, 46512, 657, 3497, 367, 60, 14963, 62786, 753, 51679]",5,False
"

Language: English

Credits: Arthur DiBianca and David Widger


*** START OF THE PROJECT GUTENBERG EBOOK ALICE'S ADVENTURES IN WONDERLAND ***

[Illustration]




Alice’s Adventures","[271, 14126, 25, 6498, 271, 70439, 25, 28686, 7923, 33, 1122, 936, 323, 6941, 48740, 1414, 1432, 12488, 21673, 3083, 3247, 40992, 480, 1406, 965, 9745, 38, 469, 37725, 8927, 5604, 13575, 9827, 6927, 51761, 2006, 98467, 11645, 40915, 17601, 271, 46512, 657, 3497, 367, 60, 14963, 62786, 753, 51679]"," in Wonderland
by Lewis Carroll

[Illustration: THE MAN SAID, “SHE CAN’T EXPLAIN IT TO YOU.”
“CAN’T SHE!” SAID THE CAT. “I THOUGHT SHE UNDERSTOOD YOU.”
“","[304, 90024, 198, 1729, 21256, 47209, 271, 46512, 657, 3497, 367, 25, 3247, 26819, 16998, 926, 11, 1054, 50, 1837, 20076, 86601, 4154, 91989, 8871, 5257, 15334, 49216, 2118, 43055, 86601, 54695, 18319, 16998, 926, 3247, 45081, 13, 1054, 40, 4534, 46, 73282, 54695, 57318, 790, 56350, 15334, 49216, 2118]"," in Wonderland

by Lewis Carroll

THE MILLENNIUM FULCRUM EDITION 3.0

Contents

 CHAPTER I.     Down the Rabbit-Hole
 CHAPTER II.    The Pool of Tears
 CHAPTER III.   A","[304, 90024, 271, 1729, 21256, 47209, 271, 17673, 42909, 877, 9944, 40, 2864, 435, 1112, 9150, 2864, 469, 10193, 220, 18, 13, 15, 271, 15147, 271, 96424, 358, 13, 257, 6419, 279, 49431, 11529, 1286, 198, 96424, 8105, 13, 262, 578, 23563, 315, 92014, 198, 96424, 14767, 13, 256, 362]",6,False
" in Wonderland

by Lewis Carroll

THE MILLENNIUM FULCRUM EDITION 3.0

Contents

 CHAPTER I.     Down the Rabbit-Hole
 CHAPTER II.    The Pool of Tears
 CHAPTER III.   A","[304, 90024, 271, 1729, 21256, 47209, 271, 17673, 42909, 877, 9944, 40, 2864, 435, 1112, 9150, 2864, 469, 10193, 220, 18, 13, 15, 271, 15147, 271, 96424, 358, 13, 257, 6419, 279, 49431, 11529, 1286, 198, 96424, 8105, 13, 262, 578, 23563, 315, 92014, 198, 96424, 14767, 13, 256, 362]"," Caucus-Race and a Long Tale
 CHAPTER IV.    The Rabbit Sends in a Little Bill
 CHAPTER V.     Advice from a Caterpillar
 CHAPTER VI.    Pig and Pepper
 CHAPTER VII.   A Mad Tea-Party
 CHAPTER VIII","[80117, 11151, 580, 323, 264, 5843, 55448, 198, 96424, 17244, 13, 262, 578, 49431, 65502, 304, 264, 15013, 8766, 198, 96424, 650, 13, 257, 55820, 505, 264, 61236, 77602, 198, 96424, 30768, 13, 262, 49654, 323, 52882, 198, 96424, 46069, 13, 256, 362, 9671, 31125, 12, 38461, 198, 96424, 58333]"," Caucus-Race and a Long Tale
 CHAPTER IV.    The Rabbit Sends in a Little Bill
 CHAPTER V.     Advice from a Caterpillar
 CHAPTER VI.    Pig and Pepper
 CHAPTER VII.   A Mad Tea-Party
 CHAPTER VIII","[80117, 11151, 580, 323, 264, 5843, 55448, 198, 96424, 17244, 13, 262, 578, 49431, 65502, 304, 264, 15013, 8766, 198, 96424, 650, 13, 257, 55820, 505, 264, 61236, 77602, 198, 96424, 30768, 13, 262, 49654, 323, 52882, 198, 96424, 46069, 13, 256, 362, 9671, 31125, 12, 38461, 198, 96424, 58333]",50,True
" Caucus-Race and a Long Tale
 CHAPTER IV.    The Rabbit Sends in a Little Bill
 CHAPTER V.     Advice from a Caterpillar
 CHAPTER VI.    Pig and Pepper
 CHAPTER VII.   A Mad Tea-Party
 CHAPTER VIII","[80117, 11151, 580, 323, 264, 5843, 55448, 198, 96424, 17244, 13, 262, 578, 49431, 65502, 304, 264, 15013, 8766, 198, 96424, 650, 13, 257, 55820, 505, 264, 61236, 77602, 198, 96424, 30768, 13, 262, 49654, 323, 52882, 198, 96424, 46069, 13, 256, 362, 9671, 31125, 12, 38461, 198, 96424, 58333]",".  The Queen's Croquet-Ground
 CHAPTER IX.    The Mock Turtle's Story
 CHAPTER X.     The Lobster Quadrille
 CHAPTER XI.    Who Stole the Tarts?
 CHAPTER XII.   Alice's Evidence
 CHAPTER","[13, 220, 578, 16657, 596, 25611, 24181, 12279, 1067, 198, 96424, 40812, 13, 262, 578, 14905, 67906, 596, 15457, 198, 96424, 1630, 13, 257, 578, 68617, 3751, 65048, 4618, 198, 96424, 54343, 13, 262, 10699, 800, 1286, 279, 350, 7183, 5380, 96424, 87915, 13, 256, 30505, 596, 44796, 198, 96424]",".  The Queen’s Croquet-Ground
 CHAPTER IX.    The Mock Turtle’s Story
 CHAPTER X.     The Lobster Quadrille
 CHAPTER XI.    Who Stole the Tarts?
 CHAPTER XII.   Alice’s Evidence




CHAPTER","[13, 220, 578, 16657, 753, 25611, 24181, 12279, 1067, 198, 96424, 40812, 13, 262, 578, 14905, 67906, 753, 15457, 198, 96424, 1630, 13, 257, 578, 68617, 3751, 65048, 4618, 198, 96424, 54343, 13, 262, 10699, 800, 1286, 279, 350, 7183, 5380, 96424, 87915, 13, 256, 30505, 753, 44796, 14963, 88539]",45,False
".  The Queen’s Croquet-Ground
 CHAPTER IX.    The Mock Turtle’s Story
 CHAPTER X.     The Lobster Quadrille
 CHAPTER XI.    Who Stole the Tarts?
 CHAPTER XII.   Alice’s Evidence




CHAPTER","[13, 220, 578, 16657, 753, 25611, 24181, 12279, 1067, 198, 96424, 40812, 13, 262, 578, 14905, 67906, 753, 15457, 198, 96424, 1630, 13, 257, 578, 68617, 3751, 65048, 4618, 198, 96424, 54343, 13, 262, 10699, 800, 1286, 279, 350, 7183, 5380, 96424, 87915, 13, 256, 30505, 753, 44796, 14963, 88539]"," I.  Down the Rabbit-Hole

Alice was beginning to get very tired of sitting by her sister on the bank, and of having nothing to do: once or twice she had peeped into the book her sister was reading, but it","[358, 13, 220, 6419, 279, 49431, 11529, 1286, 271, 62786, 574, 7314, 311, 636, 1633, 19781, 315, 11961, 555, 1077, 13219, 389, 279, 6201, 11, 323, 315, 3515, 4400, 311, 656, 25, 3131, 477, 11157, 1364, 1047, 1069, 752, 291, 1139, 279, 2363, 1077, 13219, 574, 5403, 11, 719, 433]"," I.
Down the Rabbit-Hole


Alice was beginning to get very tired of sitting by her sister on the
bank, and of having nothing to do: once or twice she had peeped into
the book her sister was reading, but","[358, 627, 4554, 279, 49431, 11529, 1286, 1432, 62786, 574, 7314, 311, 636, 1633, 19781, 315, 11961, 555, 1077, 13219, 389, 279, 198, 17469, 11, 323, 315, 3515, 4400, 311, 656, 25, 3131, 477, 11157, 1364, 1047, 1069, 752, 291, 1139, 198, 1820, 2363, 1077, 13219, 574, 5403, 11, 719]",18,False
" I.
Down the Rabbit-Hole


Alice was beginning to get very tired of sitting by her sister on the
bank, and of having nothing to do: once or twice she had peeped into
the book her sister was reading, but","[358, 627, 4554, 279, 49431, 11529, 1286, 1432, 62786, 574, 7314, 311, 636, 1633, 19781, 315, 11961, 555, 1077, 13219, 389, 279, 198, 17469, 11, 323, 315, 3515, 4400, 311, 656, 25, 3131, 477, 11157, 1364, 1047, 1069, 752, 291, 1139, 198, 1820, 2363, 1077, 13219, 574, 5403, 11, 719]"," it had no pictures or conversations
in it, ""and what is the use of a book,"" thought Alice ""without
pictures or conversation?""

So she was considering in her own mind (as well as she could, for the
hot day made","[433, 1047, 912, 9364, 477, 21633, 198, 258, 433, 11, 330, 438, 1148, 374, 279, 1005, 315, 264, 2363, 1359, 3463, 30505, 330, 30096, 198, 76503, 477, 10652, 12241, 4516, 1364, 574, 13126, 304, 1077, 1866, 4059, 320, 300, 1664, 439, 1364, 1436, 11, 369, 279, 198, 10847, 1938, 1903]"," it had no pictures or
conversations in it, “and what is the use of a book,” thought Alice
“without pictures or conversations?”

So she was considering in her own mind (as well as she could, for the
hot day","[433, 1047, 912, 9364, 477, 198, 444, 74095, 304, 433, 11, 1054, 438, 1148, 374, 279, 1005, 315, 264, 2363, 2476, 3463, 30505, 198, 2118, 30096, 9364, 477, 21633, 16616, 4516, 1364, 574, 13126, 304, 1077, 1866, 4059, 320, 300, 1664, 439, 1364, 1436, 11, 369, 279, 198, 10847, 1938]",5,False
" it had no pictures or
conversations in it, “and what is the use of a book,” thought Alice
“without pictures or conversations?”

So she was considering in her own mind (as well as she could, for the
hot day","[433, 1047, 912, 9364, 477, 198, 444, 74095, 304, 433, 11, 1054, 438, 1148, 374, 279, 1005, 315, 264, 2363, 2476, 3463, 30505, 198, 2118, 30096, 9364, 477, 21633, 16616, 4516, 1364, 574, 13126, 304, 1077, 1866, 4059, 320, 300, 1664, 439, 1364, 1436, 11, 369, 279, 198, 10847, 1938]"," made her feel very sleepy and stupid), whether the pleasure
of making a daisy-chain would be worth the trouble of getting up and
picking the daisies, when suddenly a White Rabbit with pink eyes ran
close by her.

There","[1903, 1077, 2733, 1633, 82893, 323, 18754, 705, 3508, 279, 17069, 198, 1073, 3339, 264, 294, 50156, 66286, 1053, 387, 5922, 279, 12544, 315, 3794, 709, 323, 198, 79, 16671, 279, 294, 2852, 552, 11, 994, 15187, 264, 5929, 49431, 449, 18718, 6548, 10837, 198, 5669, 555, 1077, 382, 3947]"," made her feel very sleepy and stupid), whether the pleasure of
making a daisy-chain would be worth the trouble of getting up and
picking the daisies, when suddenly a White Rabbit with pink eyes ran
close by her.

There","[1903, 1077, 2733, 1633, 82893, 323, 18754, 705, 3508, 279, 17069, 315, 198, 28936, 264, 294, 50156, 66286, 1053, 387, 5922, 279, 12544, 315, 3794, 709, 323, 198, 79, 16671, 279, 294, 2852, 552, 11, 994, 15187, 264, 5929, 49431, 449, 18718, 6548, 10837, 198, 5669, 555, 1077, 382, 3947]",47,False
" made her feel very sleepy and stupid), whether the pleasure of
making a daisy-chain would be worth the trouble of getting up and
picking the daisies, when suddenly a White Rabbit with pink eyes ran
close by her.

There","[1903, 1077, 2733, 1633, 82893, 323, 18754, 705, 3508, 279, 17069, 315, 198, 28936, 264, 294, 50156, 66286, 1053, 387, 5922, 279, 12544, 315, 3794, 709, 323, 198, 79, 16671, 279, 294, 2852, 552, 11, 994, 15187, 264, 5929, 49431, 449, 18718, 6548, 10837, 198, 5669, 555, 1077, 382, 3947]"," was nothing so VERY remarkable in that; nor did Alice think it
so VERY much out of the way to hear the Rabbit say to itself, 'Oh dear!
Oh dear! I shall be late!' (when she thought it over afterwards, it","[574, 4400, 779, 48174, 23649, 304, 430, 26, 6463, 1550, 30505, 1781, 433, 198, 708, 48174, 1790, 704, 315, 279, 1648, 311, 6865, 279, 49431, 2019, 311, 5196, 11, 364, 12174, 25237, 4999, 12174, 25237, 0, 358, 4985, 387, 3389, 32483, 320, 9493, 1364, 3463, 433, 927, 27905, 11, 433]"," was nothing so _very_ remarkable in that; nor did Alice think it
so _very_ much out of the way to hear the Rabbit say to itself, “Oh
dear! Oh dear! I shall be late!” (when she","[574, 4400, 779, 721, 1225, 62, 23649, 304, 430, 26, 6463, 1550, 30505, 1781, 433, 198, 708, 721, 1225, 62, 1790, 704, 315, 279, 1648, 311, 6865, 279, 49431, 2019, 311, 5196, 11, 1054, 12174, 198, 451, 277, 0, 8840, 25237, 0, 358, 4985, 387, 3389, 18319, 320, 9493, 1364]",4,False
